texto,categoria_general,intent_1,intent_2,intent_3,intent_4
ok,afirmar,,,,afirmar
sí,afirmar,,,,afirmar
ok te revisaré primero,afirmar,,,,afirmar
de acuerdo,afirmar,,,,afirmar
ok,afirmar,,,,afirmar
muy bueno,afirmar,,,,afirmar
sí,afirmar,,,,afirmar
sí,afirmar,,,,afirmar
sí,afirmar,,,,afirmar
de acuerdo por lo demás quería volver a hablar contigo,afirmar,,,,afirmar
de acuerdo,afirmar,,,,afirmar
sí  adiós,despedida,,,,despedida
lo veremos más tarde ¡adiós!,despedida,,,,despedida
adiós,despedida,,,,despedida
¡adiós!,despedida,,,,despedida
¿cómo estás hoy?,estado,,,,estado
cómo estás,estado,,,,estado
¿cómo estás?,estado,,,,estado
hola señor  ¿cómo está desde su última visita?,estado,,,,estado
"hola, ¿cómo estás?",estado,,,,estado
¿Qué te trae por aquí?,motivo_de_consulta,,,,motivo_de_consulta
"hola señor, ¿qué le pasa?",motivo_de_consulta,,,,motivo_de_consulta
estás muy callado ¿sufres de algo?,motivo_de_consulta,,,,motivo_de_consulta
"hola, que es lo que te lleva a consultar",motivo_de_consulta,,,,motivo_de_consulta
"estás bien, ¿qué te trae por aquí?",motivo_de_consulta,,,,motivo_de_consulta
¿Por qué se consulta?,motivo_de_consulta,,,,motivo_de_consulta
¿vienes por?,motivo_de_consulta,,,,motivo_de_consulta
¿Qué puedo hacer por usted?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué estás aquí?,motivo_de_consulta,,,,motivo_de_consulta
buenos días señora ¿podría contarme un poco lo que está pasando? ¿por qué está aquí?,motivo_de_consulta,,,,motivo_de_consulta
¿Qué te trae por aquí?,motivo_de_consulta,,,,motivo_de_consulta
qué puedo hacer por usted,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué vienes a verme?,motivo_de_consulta,,,,motivo_de_consulta
tienes que despertar No soy un veterinario ¿Por qué has vuelto a verme?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué vienes a urgencias?,motivo_de_consulta,,,,motivo_de_consulta
para esta consulta ¿a qué viene?,motivo_de_consulta,,,,motivo_de_consulta
¿Qué te trae por aquí?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué vienes a ver a un médico?,motivo_de_consulta,,,,motivo_de_consulta
¿Así que ha venido por un problema de oído?,motivo_de_consulta,,,,motivo_de_consulta
de acuerdo y explícame por qué estás aquí,motivo_de_consulta,,,,motivo_de_consulta
¿Cuál es el motivo de su consulta?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué consulta hoy?,motivo_de_consulta,,,,motivo_de_consulta
¿motivo_de_consulta?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué vienes a verme hoy?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué estás aquí hoy?,motivo_de_consulta,,,,motivo_de_consulta
¿qué te pasa?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué estás aquí?,motivo_de_consulta,,,,motivo_de_consulta
¿Cuál es el motivo de su visita?,motivo_de_consulta,,,,motivo_de_consulta
¿y por qué has vuelto a verme?,motivo_de_consulta,,,,motivo_de_consulta
¿sabes por qué nos reunimos hoy?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué has venido a verme?,motivo_de_consulta,,,,motivo_de_consulta
hola  entonces  ¿por qué vienes a urgencias?,motivo_de_consulta,,,,motivo_de_consulta
¿de qué te quejas?,motivo_de_consulta,,,,motivo_de_consulta
¿es este el motivo de su visita?,motivo_de_consulta,,,,motivo_de_consulta
¿Qué te trae por aquí?,motivo_de_consulta,,,,motivo_de_consulta
hola señor  ¿qué le trae por aquí?,motivo_de_consulta,,,,motivo_de_consulta
hola  entonces  ¿por qué vienes al hospital?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué vienes a verme hoy?,motivo_de_consulta,,,,motivo_de_consulta
buenos días ¿para qué estás aquí?,motivo_de_consulta,,,,motivo_de_consulta
"hola, ¿qué te trae hoy por aquí?",motivo_de_consulta,,,,motivo_de_consulta
muy bueno? ¿qué te lleva a consultar entonces?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué viene al hospital?,motivo_de_consulta,,,,motivo_de_consulta
"hola señor, mi nombre es sophie, ¿por qué me visitas hoy?",motivo_de_consulta,,,,motivo_de_consulta
¿Por qué consulta hoy?,motivo_de_consulta,,,,motivo_de_consulta
¿motivo_de_consulta?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué vienes a verme?,motivo_de_consulta,,,,motivo_de_consulta
buenos días ¿qué te pasa? ¿qué te trae hoy a urgencias?,motivo_de_consulta,,,,motivo_de_consulta
¿Por qué vienes hoy?,motivo_de_consulta,,,,motivo_de_consulta
hola señora ¿qué le pasa?,motivo_de_consulta,,,,motivo_de_consulta
no importa ¿Se lo digo a tus hijos?,otros,,,,otros
"bien ahora vamos a examinarte un poco, y ",otros,,,,otros
Le pido su tarjeta sanitaria,otros,,,,otros
¿bebes mucho alcohol?,personal,adiccion,alcohol,cantidad,personal_adiccion_alcohol_cantidad
¿Cuántos vasos de alcohol al día?,personal,adiccion,alcohol,cantidad,personal_adiccion_alcohol_cantidad
¿cuánto alcohol bebe?,personal,adiccion,alcohol,cantidad,personal_adiccion_alcohol_cantidad
¿Cuánto bebes?,personal,adiccion,alcohol,cantidad,personal_adiccion_alcohol_cantidad
¿Cuántas bebidas con alcohol toma en un día típico de consumo?,personal,adiccion,alcohol,cantidad,personal_adiccion_alcohol_cantidad
¿Cuántos vasos de alcohol bebe al día?,personal,adiccion,alcohol,cantidad,personal_adiccion_alcohol_cantidad
¿Vino francés?,personal,adiccion,alcohol,describir,personal_adiccion_alcohol_describir
¿Vino francés?,personal,adiccion,alcohol,describir,personal_adiccion_alcohol_describir
¿Vino francés?,personal,adiccion,alcohol,describir,personal_adiccion_alcohol_describir
¿Cuánto tiempo has estado bebiendo?,personal,adiccion,alcohol,duracion,personal_adiccion_alcohol_duracion
¿Cuánto tiempo has estado bebiendo?,personal,adiccion,alcohol,duracion,personal_adiccion_alcohol_duracion
¿Cuánto tiempo has estado bebiendo?,personal,adiccion,alcohol,duracion,personal_adiccion_alcohol_duracion
¿bebe usted regularmente alcohol?,personal,adiccion,alcohol,frecuencia,personal_adiccion_alcohol_frecuencia
¿bebe de vez en cuando?,personal,adiccion,alcohol,frecuencia,personal_adiccion_alcohol_frecuencia
¿Con qué frecuencia bebe 6 o más bebidas en una ocasión concreta?,personal,adiccion,alcohol,frecuencia,personal_adiccion_alcohol_frecuencia
¿ha dejado de beber alcohol recientemente?,personal,adiccion,alcohol,otros,personal_adiccion_alcohol_otros
¿ha dejado de beber alcohol recientemente?,personal,adiccion,alcohol,otros,personal_adiccion_alcohol_otros
¿ha dejado de beber alcohol recientemente?,personal,adiccion,alcohol,otros,personal_adiccion_alcohol_otros
¿bebe alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿bebes?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿estás bebiendo?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿Así que no bebes?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
y ¿bebes alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
y ¿bebe?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿bebe alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿bebe alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
y alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿bebe alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿bebes alcohol?,personal,adiccion,alcohol,si_o_no,personal_adiccion_alcohol_si_o_no
¿Cuánto fumas?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
cuántos cigarrillos al día,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿Cuánto fumas?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿Cuántos cigarrillos al día?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿y cuántos cigarrillos al día?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿Cuántos cigarrillos al día?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿cuántos paquetes?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿cuántos cigarrillos?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿Cuántos cigarrillos fuma al día?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
¿cuántos cigarrillos al día?,personal,adiccion,fumar,cantidad,personal_adiccion_fumar_cantidad
cuánto tiempo has fumado,personal,adiccion,fumar,duracion,personal_adiccion_fumar_duracion
¿Cuánto tiempo llevas fumando?,personal,adiccion,fumar,duracion,personal_adiccion_fumar_duracion
¿Durante cuanto tiempo has fumado?,personal,adiccion,fumar,duracion,personal_adiccion_fumar_duracion
¿fuma regularmente?,personal,adiccion,fumar,frecuencia,personal_adiccion_fumar_frecuencia
¿fuma regularmente?,personal,adiccion,fumar,frecuencia,personal_adiccion_fumar_frecuencia
¿fuma regularmente?,personal,adiccion,fumar,frecuencia,personal_adiccion_fumar_frecuencia
¿desde cuándo fumas?,personal,adiccion,fumar,inicio,personal_adiccion_fumar_inicio
¿desde cuándo fumas?,personal,adiccion,fumar,inicio,personal_adiccion_fumar_inicio
¿desde cuándo fumas?,personal,adiccion,fumar,inicio,personal_adiccion_fumar_inicio
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
fuma usted,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumaste alguna vez?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
fumar ?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumar?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fuma usted?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
y ¿fuma?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas?,personal,adiccion,fumar,si_o_no,personal_adiccion_fumar_si_o_no
¿fumas algo más?,personal,adiccion,otros,describir,personal_adiccion_otros_describir
adicciones,personal,adiccion,otros,describir,personal_adiccion_otros_describir
¿tienes alguna adicción?,personal,adiccion,otros,describir,personal_adiccion_otros_describir
¿tiene usted adicciones?,personal,adiccion,otros,describir,personal_adiccion_otros_describir
¿tienes alguna adicción?,personal,adiccion,otros,describir,personal_adiccion_otros_describir
adicciones,personal,adiccion,otros,describir,personal_adiccion_otros_describir
¿toma alguna otra sustancia?,personal,adiccion,otros,describir,personal_adiccion_otros_describir
¿tomas drogas?,personal,adiccion,otros,si_o_no,personal_adiccion_otros_si_o_no
ha tomado alguna vez drogas por inyección,personal,adiccion,otros,si_o_no,personal_adiccion_otros_si_o_no
¿usas drogas?,personal,adiccion,otros,si_o_no,personal_adiccion_otros_si_o_no
¿usas drogas?,personal,adiccion,otros,si_o_no,personal_adiccion_otros_si_o_no
¿usas drogas?,personal,adiccion,otros,si_o_no,personal_adiccion_otros_si_o_no
¿consumes cocaína?,personal,adiccion,otros,si_o_no,personal_adiccion_otros_si_o_no
¿a quién alertar en caso de necesidad?,personal,contacto,,,personal_contacto
quién es la persona a notificar,personal,contacto,,,personal_contacto
a quién alertar en caso de necesidad,personal,contacto,,,personal_contacto
¿Quién es su persona de apoyo?,personal,contacto,,,personal_contacto
¿el número de teléfono de tu ex-mujer?,personal,contacto,,,personal_contacto
¿Dónde vives?,personal,datos,direccion,,personal_datos_direccion
¿vive en una zona con mucha contaminación atmosférica?,personal,datos,direccion,,personal_datos_direccion
¿Dónde vives?,personal,datos,direccion,,personal_datos_direccion
¿vive en una zona con mucha contaminación atmosférica?,personal,datos,direccion,,personal_datos_direccion
¿Dónde vives?,personal,datos,direccion,,personal_datos_direccion
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuál es su edad?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿su edad?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿cuántos años tiene?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
ok ¿y cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Qué edad tienes?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes ahora?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuántos años tienes?,personal,datos,edad,,personal_datos_edad
¿Cuál es su fecha de nacimiento?,personal,datos,fecha_de_nacimiento,,personal_datos_fecha_de_nacimiento
¿Cuál es su fecha de nacimiento?,personal,datos,fecha_de_nacimiento,,personal_datos_fecha_de_nacimiento
¿puede decirme su fecha de nacimiento?,personal,datos,fecha_de_nacimiento,,personal_datos_fecha_de_nacimiento
en qué año naciste,personal,datos,fecha_de_nacimiento,,personal_datos_fecha_de_nacimiento
¿Cómo te llamas?,personal,datos,nombre,,personal_datos_nombre
¿Cuál es su apellido?,personal,datos,nombre,,personal_datos_nombre
